seed,family,grid_size,states,actions,regime,C_V,C_D,DCR,C_B,C_R,F,C_top,L,kappa,L_table,L_Gamma,L_Pi_struct,table_to_boundary_ratio,table_to_struct_policy_ratio
3,inventory_threshold,40,1600,4,polynomial_beta_1.00,1600.0,20.46153846153846,78.19548872180452,3.0,4.0,1.0,8.0,8.307692307692307,4.153846153846153,3200.0,1736.3047027435055,1744.3047027435055,1.8429944899324033,1.834541863567142
3,inventory_threshold,60,3600,4,polynomial_beta_1.00,3600.0,20.305084745762713,177.29549248747912,3.0,4.0,1.0,8.0,8.203389830508474,4.101694915254237,7200.0,2870.935048274523,2878.935048274523,2.507893727629719,2.5009247792218474
3,inventory_threshold,80,6400,4,polynomial_beta_1.00,6400.0,20.303797468354432,315.21197007481294,3.0,4.0,1.0,8.0,8.20253164556962,4.10126582278481,12800.0,4108.609405487011,4116.609405487011,3.1154093117018413,3.1093549907695723
3,inventory_threshold,120,14400,4,polynomial_beta_1.00,14400.0,20.252100840336134,711.0373443983402,3.0,4.0,1.0,8.0,8.168067226890756,4.084033613445378,28800.0,6725.49765893148,6733.49765893148,4.282210991740294,4.277123340467633
3,inventory_threshold,160,25600,4,polynomial_beta_1.00,25600.0,20.226415094339625,1265.6716417910445,3.0,4.0,1.0,8.0,8.150943396226415,4.0754716981132075,51200.0,9501.218810974022,9509.218810974022,5.38878232557526,5.384248802952471
3,inventory_threshold,240,57600,4,polynomial_beta_1.00,57600.0,20.20083682008368,2851.367025683513,3.0,4.0,1.0,8.0,8.13389121338912,4.06694560669456,115200.0,15382.99531786296,15390.99531786296,7.488788601932945,7.48489604608596
3,inventory_threshold,320,102400,4,polynomial_beta_1.00,102400.0,20.188087774294672,5072.298136645963,3.0,4.0,1.0,8.0,8.12539184952978,4.06269592476489,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
3,machine_replacement,40,1600,4,polynomial_beta_1.00,1600.0,18.46153846153846,86.66666666666667,3.0,4.0,1.0,8.0,6.9743589743589745,3.4871794871794872,3200.0,1459.5644418093627,1467.5644418093627,2.192434885597165,2.180483465553795
3,machine_replacement,60,3600,4,polynomial_beta_1.00,3600.0,18.271186440677965,197.03153988868274,3.0,4.0,1.0,8.0,6.8474576271186445,3.4237288135593222,7200.0,2398.3838006258416,2406.3838006258416,3.0020216106034447,2.992041418383658
3,machine_replacement,80,6400,4,polynomial_beta_1.00,6400.0,18.329113924050635,349.171270718232,3.0,4.0,1.0,8.0,6.886075949367089,3.4430379746835444,12800.0,3451.1288836187255,3459.1288836187255,3.7089313183164565,3.7003535949806636
3,machine_replacement,120,14400,4,polynomial_beta_1.00,14400.0,18.285714285714285,787.5,3.0,4.0,1.0,8.0,6.857142857142857,3.4285714285714284,28800.0,5648.022726016551,5656.022726016551,5.099129624131686,5.091917305693606
3,machine_replacement,160,25600,4,polynomial_beta_1.00,25600.0,18.22641509433962,1404.5548654244308,3.0,4.0,1.0,8.0,6.817610062893082,3.408805031446541,51200.0,7948.970054857901,7956.970054857901,6.4410860333672835,6.434610115032581
3,machine_replacement,240,57600,4,polynomial_beta_1.00,57600.0,18.21757322175732,3161.782269177768,3.0,4.0,1.0,8.0,6.8117154811715475,3.4058577405857737,115200.0,12884.41788965067,12892.41788965067,8.941032570243914,8.935484482897214
3,machine_replacement,320,102400,4,polynomial_beta_1.00,102400.0,18.213166144200628,5622.3063683304645,3.0,4.0,1.0,8.0,6.808777429467084,3.404388714733542,204800.0,18087.22782209535,18095.22782209535,11.322907081969545,11.317901162312365
3,admission_control,40,1600,4,polynomial_beta_1.00,1600.0,18.769230769230766,85.24590163934427,3.0,4.0,1.0,8.0,7.179487179487179,3.5897435897435894,3200.0,1502.1398665684615,1510.1398665684615,2.1302943029600745,2.1190090208474937
3,admission_control,60,3600,4,polynomial_beta_1.00,3600.0,18.677966101694913,192.7404718693285,3.0,4.0,1.0,8.0,7.11864406779661,3.559322033898305,7200.0,2492.894050155578,2500.894050155578,2.8882093884217253,2.878970422418373
3,admission_control,80,6400,4,polynomial_beta_1.00,6400.0,18.594936708860757,344.17971409121856,3.0,4.0,1.0,8.0,7.063291139240506,3.531645569620253,12800.0,3539.6358769471485,3547.6358769471485,3.6161911690870574,3.6080365753361363
3,admission_control,120,14400,4,polynomial_beta_1.00,14400.0,18.588235294117645,774.6835443037976,3.0,4.0,1.0,8.0,7.0588235294117645,3.5294117647058822,28800.0,5813.788100311156,5821.788100311156,4.953740917812023,4.946933743339221
3,admission_control,160,25600,4,polynomial_beta_1.00,25600.0,18.566037735849058,1378.861788617886,3.0,4.0,1.0,8.0,7.044025157232705,3.5220125786163523,51200.0,8212.559466273846,8220.559466273846,6.234353639722278,6.228286555198117
3,admission_control,240,57600,4,polynomial_beta_1.00,57600.0,18.543933054393307,3106.1371841155233,3.0,4.0,1.0,8.0,7.02928870292887,3.514644351464435,115200.0,13295.576200622312,13303.576200622312,8.664536102963929,8.659325752921323
3,admission_control,320,102400,4,polynomial_beta_1.00,102400.0,18.523510971786834,5528.109663225588,3.0,4.0,1.0,8.0,7.015673981191222,3.507836990595611,204800.0,18636.475076357914,18644.475076357914,10.989202580471222,10.984487316550746
3,resource_allocation,40,1600,4,polynomial_beta_1.00,1600.0,20.769230769230766,77.03703703703705,3.0,4.0,1.0,8.0,8.512820512820513,4.256410256410256,3200.0,1778.8801275026044,1786.8801275026044,1.7988845625548284,1.7908308177742247
3,resource_allocation,60,3600,4,polynomial_beta_1.00,3600.0,20.711864406779664,173.81342062193124,3.0,4.0,1.0,8.0,8.474576271186441,4.237288135593221,7200.0,2965.4452978042596,2973.4452978042596,2.4279658793002126,2.4214334816641285
3,resource_allocation,80,6400,4,polynomial_beta_1.00,6400.0,20.683544303797472,309.4247246022031,3.0,4.0,1.0,8.0,8.455696202531646,4.227848101265823,12800.0,4235.0479673847585,4243.0479673847585,3.0223978803962166,3.016699339340582
3,resource_allocation,120,14400,4,polynomial_beta_1.00,14400.0,20.655462184873947,697.1521562245729,3.0,4.0,1.0,8.0,8.436974789915967,4.218487394957983,28800.0,6946.518157990953,6954.518157990953,4.145961954604526,4.1411927247480005
3,resource_allocation,160,25600,4,polynomial_beta_1.00,25600.0,20.641509433962263,1240.2193784277881,3.0,4.0,1.0,8.0,8.427672955974844,4.213836477987422,51200.0,9823.383647149067,9831.383647149067,5.212053385989788,5.207812230463321
3,resource_allocation,240,57600,4,polynomial_beta_1.00,57600.0,20.602510460251047,2795.7757920389927,3.0,4.0,1.0,8.0,8.401673640167363,4.200836820083682,115200.0,15889.036315981906,15897.036315981906,7.250282377674892,7.246633756770435
3,resource_allocation,320,102400,4,polynomial_beta_1.00,102400.0,20.60188087774295,4970.419963481436,3.0,4.0,1.0,8.0,8.401253918495298,4.200626959247649,204800.0,22314.76729429813,22322.76729429813,9.17777888063975,9.174489761953113
3,random_structured,40,1600,4,polynomial_beta_1.00,1600.0,18.615384615384613,85.9504132231405,3.0,4.0,1.0,8.0,7.076923076923077,3.5384615384615383,3200.0,1480.852154188912,1488.852154188912,2.1609179491336152,2.149306760242609
3,random_structured,60,3600,4,polynomial_beta_1.00,3600.0,18.576271186440678,193.7956204379562,3.0,4.0,1.0,8.0,7.0508474576271185,3.5254237288135593,7200.0,2469.2664877731436,2477.2664877731436,2.9158456714379053,2.9064293387637115
3,random_structured,80,6400,4,polynomial_beta_1.00,6400.0,18.481012658227847,346.3013698630137,3.0,4.0,1.0,8.0,6.987341772151899,3.4936708860759493,12800.0,3501.704308377824,3509.704308377824,3.655362895540898,3.6470308821873734
3,random_structured,120,14400,4,polynomial_beta_1.00,14400.0,18.53781512605042,776.7905711695377,3.0,4.0,1.0,8.0,7.025210084033613,3.5126050420168067,28800.0,5786.160537928722,5794.160537928722,4.977393871326903,4.970521581422273
3,random_structured,160,25600,4,polynomial_beta_1.00,25600.0,18.49056603773585,1384.4897959183672,3.0,4.0,1.0,8.0,6.9937106918239,3.49685534591195,51200.0,8153.984041514747,8161.984041514747,6.2791390980560085,6.272984575757393
3,random_structured,240,57600,4,polynomial_beta_1.00,57600.0,18.468619246861923,3118.8038060715908,3.0,4.0,1.0,8.0,6.979079497907949,3.4895397489539746,115200.0,13200.69351347501,13208.69351347501,8.726814230055876,8.721528732760536
3,random_structured,320,102400,4,polynomial_beta_1.00,102400.0,18.438871473354233,5553.485209112547,3.0,4.0,1.0,8.0,6.959247648902821,3.4796238244514104,204800.0,18486.68037064994,18494.68037064994,11.078246385713856,11.073454414762773
4,inventory_threshold,40,1600,4,polynomial_beta_1.00,1600.0,20.46153846153846,78.19548872180452,3.0,4.0,1.0,8.0,8.307692307692307,4.153846153846153,3200.0,1736.3047027435055,1744.3047027435055,1.8429944899324033,1.834541863567142
4,inventory_threshold,60,3600,4,polynomial_beta_1.00,3600.0,20.305084745762713,177.29549248747912,3.0,4.0,1.0,8.0,8.203389830508474,4.101694915254237,7200.0,2870.935048274523,2878.935048274523,2.507893727629719,2.5009247792218474
4,inventory_threshold,80,6400,4,polynomial_beta_1.00,6400.0,20.303797468354432,315.21197007481294,3.0,4.0,1.0,8.0,8.20253164556962,4.10126582278481,12800.0,4108.609405487011,4116.609405487011,3.1154093117018413,3.1093549907695723
4,inventory_threshold,120,14400,4,polynomial_beta_1.00,14400.0,20.252100840336134,711.0373443983402,3.0,4.0,1.0,8.0,8.168067226890756,4.084033613445378,28800.0,6725.49765893148,6733.49765893148,4.282210991740294,4.277123340467633
4,inventory_threshold,160,25600,4,polynomial_beta_1.00,25600.0,20.226415094339625,1265.6716417910445,3.0,4.0,1.0,8.0,8.150943396226415,4.0754716981132075,51200.0,9501.218810974022,9509.218810974022,5.38878232557526,5.384248802952471
4,inventory_threshold,240,57600,4,polynomial_beta_1.00,57600.0,20.20083682008368,2851.367025683513,3.0,4.0,1.0,8.0,8.13389121338912,4.06694560669456,115200.0,15382.99531786296,15390.99531786296,7.488788601932945,7.48489604608596
4,inventory_threshold,320,102400,4,polynomial_beta_1.00,102400.0,20.188087774294672,5072.298136645963,3.0,4.0,1.0,8.0,8.12539184952978,4.06269592476489,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
4,machine_replacement,40,1600,4,polynomial_beta_1.00,1600.0,18.46153846153846,86.66666666666667,3.0,4.0,1.0,8.0,6.9743589743589745,3.4871794871794872,3200.0,1459.5644418093627,1467.5644418093627,2.192434885597165,2.180483465553795
4,machine_replacement,60,3600,4,polynomial_beta_1.00,3600.0,18.271186440677965,197.03153988868274,3.0,4.0,1.0,8.0,6.8474576271186445,3.4237288135593222,7200.0,2398.3838006258416,2406.3838006258416,3.0020216106034447,2.992041418383658
4,machine_replacement,80,6400,4,polynomial_beta_1.00,6400.0,18.329113924050635,349.171270718232,3.0,4.0,1.0,8.0,6.886075949367089,3.4430379746835444,12800.0,3451.1288836187255,3459.1288836187255,3.7089313183164565,3.7003535949806636
4,machine_replacement,120,14400,4,polynomial_beta_1.00,14400.0,18.285714285714285,787.5,3.0,4.0,1.0,8.0,6.857142857142857,3.4285714285714284,28800.0,5648.022726016551,5656.022726016551,5.099129624131686,5.091917305693606
4,machine_replacement,160,25600,4,polynomial_beta_1.00,25600.0,18.22641509433962,1404.5548654244308,3.0,4.0,1.0,8.0,6.817610062893082,3.408805031446541,51200.0,7948.970054857901,7956.970054857901,6.4410860333672835,6.434610115032581
4,machine_replacement,240,57600,4,polynomial_beta_1.00,57600.0,18.21757322175732,3161.782269177768,3.0,4.0,1.0,8.0,6.8117154811715475,3.4058577405857737,115200.0,12884.41788965067,12892.41788965067,8.941032570243914,8.935484482897214
4,machine_replacement,320,102400,4,polynomial_beta_1.00,102400.0,18.213166144200628,5622.3063683304645,3.0,4.0,1.0,8.0,6.808777429467084,3.404388714733542,204800.0,18087.22782209535,18095.22782209535,11.322907081969545,11.317901162312365
4,admission_control,40,1600,4,polynomial_beta_1.00,1600.0,18.769230769230766,85.24590163934427,3.0,4.0,1.0,8.0,7.179487179487179,3.5897435897435894,3200.0,1502.1398665684615,1510.1398665684615,2.1302943029600745,2.1190090208474937
4,admission_control,60,3600,4,polynomial_beta_1.00,3600.0,18.677966101694913,192.7404718693285,3.0,4.0,1.0,8.0,7.11864406779661,3.559322033898305,7200.0,2492.894050155578,2500.894050155578,2.8882093884217253,2.878970422418373
4,admission_control,80,6400,4,polynomial_beta_1.00,6400.0,18.594936708860757,344.17971409121856,3.0,4.0,1.0,8.0,7.063291139240506,3.531645569620253,12800.0,3539.6358769471485,3547.6358769471485,3.6161911690870574,3.6080365753361363
4,admission_control,120,14400,4,polynomial_beta_1.00,14400.0,18.588235294117645,774.6835443037976,3.0,4.0,1.0,8.0,7.0588235294117645,3.5294117647058822,28800.0,5813.788100311156,5821.788100311156,4.953740917812023,4.946933743339221
4,admission_control,160,25600,4,polynomial_beta_1.00,25600.0,18.566037735849058,1378.861788617886,3.0,4.0,1.0,8.0,7.044025157232705,3.5220125786163523,51200.0,8212.559466273846,8220.559466273846,6.234353639722278,6.228286555198117
4,admission_control,240,57600,4,polynomial_beta_1.00,57600.0,18.543933054393307,3106.1371841155233,3.0,4.0,1.0,8.0,7.02928870292887,3.514644351464435,115200.0,13295.576200622312,13303.576200622312,8.664536102963929,8.659325752921323
4,admission_control,320,102400,4,polynomial_beta_1.00,102400.0,18.523510971786834,5528.109663225588,3.0,4.0,1.0,8.0,7.015673981191222,3.507836990595611,204800.0,18636.475076357914,18644.475076357914,10.989202580471222,10.984487316550746
4,resource_allocation,40,1600,4,polynomial_beta_1.00,1600.0,20.769230769230766,77.03703703703705,3.0,4.0,1.0,8.0,8.512820512820513,4.256410256410256,3200.0,1778.8801275026044,1786.8801275026044,1.7988845625548284,1.7908308177742247
4,resource_allocation,60,3600,4,polynomial_beta_1.00,3600.0,20.711864406779664,173.81342062193124,3.0,4.0,1.0,8.0,8.474576271186441,4.237288135593221,7200.0,2965.4452978042596,2973.4452978042596,2.4279658793002126,2.4214334816641285
4,resource_allocation,80,6400,4,polynomial_beta_1.00,6400.0,20.683544303797472,309.4247246022031,3.0,4.0,1.0,8.0,8.455696202531646,4.227848101265823,12800.0,4235.0479673847585,4243.0479673847585,3.0223978803962166,3.016699339340582
4,resource_allocation,120,14400,4,polynomial_beta_1.00,14400.0,20.655462184873947,697.1521562245729,3.0,4.0,1.0,8.0,8.436974789915967,4.218487394957983,28800.0,6946.518157990953,6954.518157990953,4.145961954604526,4.1411927247480005
4,resource_allocation,160,25600,4,polynomial_beta_1.00,25600.0,20.641509433962263,1240.2193784277881,3.0,4.0,1.0,8.0,8.427672955974844,4.213836477987422,51200.0,9823.383647149067,9831.383647149067,5.212053385989788,5.207812230463321
4,resource_allocation,240,57600,4,polynomial_beta_1.00,57600.0,20.602510460251047,2795.7757920389927,3.0,4.0,1.0,8.0,8.401673640167363,4.200836820083682,115200.0,15889.036315981906,15897.036315981906,7.250282377674892,7.246633756770435
4,resource_allocation,320,102400,4,polynomial_beta_1.00,102400.0,20.60188087774295,4970.419963481436,3.0,4.0,1.0,8.0,8.401253918495298,4.200626959247649,204800.0,22314.76729429813,22322.76729429813,9.17777888063975,9.174489761953113
4,random_structured,40,1600,4,polynomial_beta_1.00,1600.0,19.23076923076923,83.2,3.0,4.0,1.0,8.0,7.487179487179487,3.7435897435897436,3200.0,1566.0030037071099,1574.0030037071099,2.0434188136451987,2.0330329691006455
4,random_structured,60,3600,4,polynomial_beta_1.00,3600.0,19.1864406779661,187.6325088339223,3.0,4.0,1.0,8.0,7.4576271186440675,3.7288135593220337,7200.0,2611.031862067748,2619.031862067748,2.7575305014846205,2.749107448549915
4,random_structured,80,6400,4,polynomial_beta_1.00,6400.0,19.08860759493671,335.27851458885937,3.0,4.0,1.0,8.0,7.3924050632911396,3.6962025316455698,12800.0,3704.0060074142198,3712.0060074142198,3.4557179373841587,3.448270281468771
4,random_structured,120,14400,4,polynomial_beta_1.00,14400.0,19.142857142857142,752.2388059701493,3.0,4.0,1.0,8.0,7.428571428571428,3.714285714285714,28800.0,6117.69128651793,6125.69128651793,4.707658273549857,4.701510189288528
4,random_structured,160,25600,4,polynomial_beta_1.00,25600.0,19.132075471698112,1338.0670611439843,3.0,4.0,1.0,8.0,7.421383647798742,3.710691823899371,51200.0,8651.875151967088,8659.875151967088,5.917792282099584,5.912325420577217
4,random_structured,240,57600,4,polynomial_beta_1.00,57600.0,19.09623430962343,3016.301489921122,3.0,4.0,1.0,8.0,7.397489539748953,3.6987447698744766,115200.0,13991.38257303586,13999.38257303586,8.233639484779225,8.228934340424852
4,random_structured,320,102400,4,polynomial_beta_1.00,102400.0,19.078369905956112,5367.334866907657,3.0,4.0,1.0,8.0,7.385579937304075,3.6927899686520376,204800.0,19618.462591554624,19626.462591554624,10.439146240142309,10.434891109115433
5,inventory_threshold,40,1600,4,polynomial_beta_1.00,1600.0,20.46153846153846,78.19548872180452,3.0,4.0,1.0,8.0,8.307692307692307,4.153846153846153,3200.0,1736.3047027435055,1744.3047027435055,1.8429944899324033,1.834541863567142
5,inventory_threshold,60,3600,4,polynomial_beta_1.00,3600.0,20.305084745762713,177.29549248747912,3.0,4.0,1.0,8.0,8.203389830508474,4.101694915254237,7200.0,2870.935048274523,2878.935048274523,2.507893727629719,2.5009247792218474
5,inventory_threshold,80,6400,4,polynomial_beta_1.00,6400.0,20.303797468354432,315.21197007481294,3.0,4.0,1.0,8.0,8.20253164556962,4.10126582278481,12800.0,4108.609405487011,4116.609405487011,3.1154093117018413,3.1093549907695723
5,inventory_threshold,120,14400,4,polynomial_beta_1.00,14400.0,20.252100840336134,711.0373443983402,3.0,4.0,1.0,8.0,8.168067226890756,4.084033613445378,28800.0,6725.49765893148,6733.49765893148,4.282210991740294,4.277123340467633
5,inventory_threshold,160,25600,4,polynomial_beta_1.00,25600.0,20.226415094339625,1265.6716417910445,3.0,4.0,1.0,8.0,8.150943396226415,4.0754716981132075,51200.0,9501.218810974022,9509.218810974022,5.38878232557526,5.384248802952471
5,inventory_threshold,240,57600,4,polynomial_beta_1.00,57600.0,20.20083682008368,2851.367025683513,3.0,4.0,1.0,8.0,8.13389121338912,4.06694560669456,115200.0,15382.99531786296,15390.99531786296,7.488788601932945,7.48489604608596
5,inventory_threshold,320,102400,4,polynomial_beta_1.00,102400.0,20.188087774294672,5072.298136645963,3.0,4.0,1.0,8.0,8.12539184952978,4.06269592476489,204800.0,21582.43762194804,21590.43762194804,9.489196891815904,9.485680817873181
5,machine_replacement,40,1600,4,polynomial_beta_1.00,1600.0,18.46153846153846,86.66666666666667,3.0,4.0,1.0,8.0,6.9743589743589745,3.4871794871794872,3200.0,1459.5644418093627,1467.5644418093627,2.192434885597165,2.180483465553795
5,machine_replacement,60,3600,4,polynomial_beta_1.00,3600.0,18.271186440677965,197.03153988868274,3.0,4.0,1.0,8.0,6.8474576271186445,3.4237288135593222,7200.0,2398.3838006258416,2406.3838006258416,3.0020216106034447,2.992041418383658
5,machine_replacement,80,6400,4,polynomial_beta_1.00,6400.0,18.329113924050635,349.171270718232,3.0,4.0,1.0,8.0,6.886075949367089,3.4430379746835444,12800.0,3451.1288836187255,3459.1288836187255,3.7089313183164565,3.7003535949806636
5,machine_replacement,120,14400,4,polynomial_beta_1.00,14400.0,18.285714285714285,787.5,3.0,4.0,1.0,8.0,6.857142857142857,3.4285714285714284,28800.0,5648.022726016551,5656.022726016551,5.099129624131686,5.091917305693606
5,machine_replacement,160,25600,4,polynomial_beta_1.00,25600.0,18.22641509433962,1404.5548654244308,3.0,4.0,1.0,8.0,6.817610062893082,3.408805031446541,51200.0,7948.970054857901,7956.970054857901,6.4410860333672835,6.434610115032581
5,machine_replacement,240,57600,4,polynomial_beta_1.00,57600.0,18.21757322175732,3161.782269177768,3.0,4.0,1.0,8.0,6.8117154811715475,3.4058577405857737,115200.0,12884.41788965067,12892.41788965067,8.941032570243914,8.935484482897214
5,machine_replacement,320,102400,4,polynomial_beta_1.00,102400.0,18.213166144200628,5622.3063683304645,3.0,4.0,1.0,8.0,6.808777429467084,3.404388714733542,204800.0,18087.22782209535,18095.22782209535,11.322907081969545,11.317901162312365
5,admission_control,40,1600,4,polynomial_beta_1.00,1600.0,18.769230769230766,85.24590163934427,3.0,4.0,1.0,8.0,7.179487179487179,3.5897435897435894,3200.0,1502.1398665684615,1510.1398665684615,2.1302943029600745,2.1190090208474937
5,admission_control,60,3600,4,polynomial_beta_1.00,3600.0,18.677966101694913,192.7404718693285,3.0,4.0,1.0,8.0,7.11864406779661,3.559322033898305,7200.0,2492.894050155578,2500.894050155578,2.8882093884217253,2.878970422418373
5,admission_control,80,6400,4,polynomial_beta_1.00,6400.0,18.594936708860757,344.17971409121856,3.0,4.0,1.0,8.0,7.063291139240506,3.531645569620253,12800.0,3539.6358769471485,3547.6358769471485,3.6161911690870574,3.6080365753361363
5,admission_control,120,14400,4,polynomial_beta_1.00,14400.0,18.588235294117645,774.6835443037976,3.0,4.0,1.0,8.0,7.0588235294117645,3.5294117647058822,28800.0,5813.788100311156,5821.788100311156,4.953740917812023,4.946933743339221
